,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Years To Unicorn,Funding_num,Valuation_num
270,Uniphore,$3B,2022-02-16,Artificial intelligence,Palo Alto,United States,North America,2008,$607M,"Chiratae Ventures, March Capital Partners, National Grid Partners",14,6070000.0,300000000.0
271,Varo Bank,$3B,2021-09-09,Fintech,San Francisco,United States,North America,2015,$987M,"Warburg Pincus, The Rise Fund, HarbourVest Partners",6,9870000.0,300000000.0
272,Vercel,$3B,2021-06-23,Internet software & services,San Francisco,United States,North America,2015,$313M,"CRV, Accel, Google Ventures",6,3130000.0,300000000.0
273,Oura,$3B,2022-04-05,Health,Oulu,Finland,Europe,2013,$148M,"Forerunner Ventures, Lifeline Ventures, MSD Capital",9,1480000.0,300000000.0
274,Unacademy,$3B,2020-09-02,Edtech,Bengaluru,India,Asia,2015,$789M,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",5,7890000.0,300000000.0
275,Axonius,$3B,2021-03-01,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",4,3950000.0,300000000.0
276,Clari,$3B,2021-03-03,Internet software & services,Sunnyvale,United States,North America,2012,$496M,"Sequoia Capital, Bain Capital Ventures, enaya Capital",9,4960000.0,300000000.0
277,ManoMano,$3B,2021-07-05,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,"General Atlantic, Piton Capital, Partech Partners",8,7060000.0,300000000.0
278,Pendo,$3B,2019-10-17,Internet software & services,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",6,3570000.0,300000000.0
279,Plume,$3B,2021-02-23,Internet software & services,Palo Alto,United States,North America,2015,$722M,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",6,7220000.0,300000000.0
280,JumpCloud,$3B,2021-09-13,Data management & analytics,Louisville,United States,North America,2012,$407M,"Foundry Group, General Atlantic, BlackRock",9,4070000.0,300000000.0
281,Project44,$3B,2021-06-01,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,"Emergence Capital Partners, 8VC, Chicago Ventures",7,8180000.0,300000000.0
282,Sourcegraph,$3B,2021-07-13,Internet software & services,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",8,2480000.0,300000000.0
283,OwnBackup,$3B,2021-01-28,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,"Insight Partners, Salesforce Ventures, Vertex Ventures",6,5070000.0,300000000.0
284,Starburst,$3B,2021-01-06,Data management & analytics,Boston,United States,North America,1999,$414M,"Index Ventures, Coatue Management, Andreessen Horowitz",22,4140000.0,300000000.0
285,Youxia Motors,$3B,2018-04-02,Auto & transportation,Shanghai,China,Asia,2014,$1B,"China Environmental Protection Industry, China Fortune Ocean",4,100000000.0,300000000.0
286,Zetwerk,$3B,2021-08-20,Internet software & services,Bengaluru,India,Asia,2018,$543M,"Sequoia Capital India, Kae Capital, Accel",3,5430000.0,300000000.0
287,Cars24,$3B,2020-11-24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,"Moore Strategic Ventures, DST Global, Sequoia Capital India",5,100000000.0,300000000.0
288,Ethos,$3B,2021-05-11,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",5,4070000.0,300000000.0
289,Komodo Health,$3B,2020-05-22,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",6,3140000.0,300000000.0
290,Nextiva,$3B,2021-09-14,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,13,2000000.0,300000000.0
291,o9 Solutions,$3B,2020-04-28,Artificial intelligence,Dallas,United States,North America,2009,$417M,KKR,11,4170000.0,300000000.0
292,Scopely,$3B,2019-10-29,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",8,9990000.0,300000000.0
293,Sila Nanotechnologies,$3B,2019-04-16,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",8,8800000.0,300000000.0
294,Via,$3B,2020-03-30,Auto & transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",8,7770000.0,300000000.0
295,Transmit Security,$3B,2021-06-22,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,"General Atlantic, Insight Partners, Vintage Investment Partners",7,5830000.0,300000000.0
296,BlockDaemon,$3B,2021-09-21,Fintech,Los Angeles,United States,North America,2016,$398M,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",5,3980000.0,300000000.0
297,Convoy,$3B,2018-09-21,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",3,6660000.0,300000000.0
298,Dream Games,$3B,2021-06-30,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,"Makers Fund, Index Ventures, Inova Ventures Participacees",2,4680000.0,300000000.0
299,Illumio,$3B,2015-04-14,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",2,5580000.0,300000000.0
300,MasterClass,$3B,2021-05-13,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",6,4610000.0,300000000.0
301,Graphcore,$3B,2018-12-18,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2,6820000.0,300000000.0
302,ApplyBoard,$3B,2020-05-05,Edtech,Kitchener,Canada,North America,2015,$483M,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",5,4830000.0,300000000.0
303,Blockstream,$3B,2021-08-24,Fintech,Vancouver,Canada,North America,2014,$299M,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",7,2990000.0,300000000.0
304,Cedar,$3B,2021-03-09,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",5,3260000.0,300000000.0
305,ContentSquare,$3B,2021-05-25,Internet software & services,Paris,France,Europe,2012,$812M,"Highland Europe, Eurazeo, Canaan Partners",9,8120000.0,300000000.0
306,Eruditus Executive Education,$3B,2021-08-12,Edtech,Mumbai,India,Asia,2010,$591M,"Sequoia Capital India, Softbank, Bertelsmann India Investments",11,5910000.0,300000000.0
307,Innovaccer,$3B,2021-02-19,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",7,3790000.0,300000000.0
308,Ironclad,$3B,2022-01-18,Internet software & services,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",8,3340000.0,300000000.0
309,Skims,$3B,2021-04-09,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2,3990000.0,300000000.0
310,Thumbtack,$3B,2015-09-29,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",7,6980000.0,300000000.0
311,Zipline,$3B,2019-05-20,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",5,4830000.0,300000000.0
312,BharatPe,$3B,2021-07-30,Fintech,New Delhi,India,Asia,2018,$600M,"Insight Partners, Sequoia Capital India, BEENEXT",3,6000000.0,300000000.0
313,DriveWealth,$3B,2021-08-20,Fintech,Chatham,United States,North America,2012,$551M,"Point72 Ventures, Route 66 Ventures, Accel",9,5510000.0,300000000.0
314,Flink Food,$3B,2021-12-01,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,"Mubadala Capital, Bond, Prosus Ventures",0,100000000.0,300000000.0
315,PsiQuantum,$3B,2021-07-27,Hardware,Palo Alto,United States,North America,2016,$665M,"Playground Global, M12, BlackRock",5,6650000.0,300000000.0
316,SpotOn,$3B,2021-05-26,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",4,6280000.0,300000000.0
317,Gorillas,$3B,2021-03-25,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,"Coatue Management, Atlantic Food Labs, DST Global",1,100000000.0,300000000.0
318,HighRadius,$3B,2020-01-07,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",14,4750000.0,300000000.0
319,Loft,$3B,2020-01-03,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,"Monashees+, Andreessen Horowitz, QED Investors",2,7880000.0,300000000.0
320,Nuvemshop,$3B,2021-08-17,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,"Kaszek Ventures, Qualcomm Ventures, Accel",10,6280000.0,300000000.0
321,Udaan,$3B,2018-09-04,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2,100000000.0,300000000.0
322,Workrise,$3B,2019-09-30,Internet software & services,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",5,7220000.0,300000000.0
323,ActiveCampaign,$3B,2021-04-21,Internet software & services,Chicago,United States,North America,2003,$360M,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",18,3600000.0,300000000.0
324,Age of Learning,$3B,2016-05-03,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,9,5000000.0,300000000.0
325,Amber Group,$3B,2021-06-21,Fintech,,Hong Kong,Asia,2015,$328M,"Tiger Global Management, Tiger Brokers, DCM Ventures",6,3280000.0,300000000.0
326,Anchorage Digital,$3B,2021-12-15,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",4,4870000.0,300000000.0
327,BlockFi,$3B,2021-03-11,Fintech,Jersey City,United States,North America,2017,$1B,"ConsenSys Ventures, Valar Ventures, PUC",4,100000000.0,300000000.0
328,Calendly,$3B,2021-01-26,Internet software & services,Atlanta,United States,North America,2013,$351M,"ICONIQ Capital, OpenView Venture Partners",8,3510000.0,300000000.0
329,Carbon Health,$3B,2021-07-21,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",6,5230000.0,300000000.0
330,Circle,$3B,2018-05-15,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",5,7110000.0,300000000.0
331,CMR Surgical,$3B,2019-09-17,Health,Cambridge,United Kingdom,Europe,2014,$975M,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",5,9750000.0,300000000.0
332,Contentful,$3B,2021-07-28,Internet software & services,Berlin,Germany,Europe,2013,$333M,"Balderton Capital, General Catalyst, Tiger Global Management",8,3330000.0,300000000.0
333,Cross River Bank,$3B,2022-02-11,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",14,7750000.0,300000000.0
334,Delhivery,$3B,2019-02-27,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,"Times Internet, Nexus Venture Partners, SoftBank Group",8,100000000.0,300000000.0
335,FlixBus,$3B,2019-07-18,Auto & transportation,Munich,Germany,Europe,2013,$1B,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",6,100000000.0,300000000.0
336,Flutterwave,$3B,2021-03-09,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",5,4740000.0,300000000.0
337,Forter,$3B,2020-11-19,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",7,5250000.0,300000000.0
338,Grafana Labs,$3B,2021-03-25,Internet software & services,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",7,5350000.0,300000000.0
339,Groww,$3B,2021-04-07,Fintech,Bengaluru,India,Asia,2017,$393M,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",4,3930000.0,300000000.0
340,Inxeption,$3B,2022-01-13,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",5,1870000.0,300000000.0
341,KK Group,$3B,2019-10-23,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",5,6120000.0,300000000.0
342,Lattice,$3B,2021-03-23,Internet software & services,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",6,3290000.0,300000000.0
343,LaunchDarkly,$3B,2021-08-10,Internet software & services,Oakland,United States,North America,2014,$330M,"Uncork Capital, Threshold Ventures, Bloomberg Beta",7,3300000.0,300000000.0
344,Lucid,$3B,2021-06-29,Internet software & services,South Jordan,United States,North America,2010,$170M,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",11,1700000.0,300000000.0
345,Outschool,$3B,2021-04-14,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",6,2400000.0,300000000.0
346,Podium,$3B,2020-04-07,Internet software & services,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",6,4190000.0,300000000.0
347,Remote,$3B,2021-07-13,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",5,4960000.0,300000000.0
348,Seismic,$3B,2018-12-18,Internet software & services,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",8,4270000.0,300000000.0
349,Sky Mavis,$3B,2021-10-04,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,"Fabric Ventures, 500 Global, Standard Crypto",2,3110000.0,300000000.0
350,SouChe Holdings,$3B,2017-11-01,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",5,100000000.0,300000000.0
351,TradingView,$3B,2021-10-14,Fintech,Westerville,United States,North America,2011,$339M,"Tiger Global Management, Insight Partners, Jump Capital",10,3390000.0,300000000.0
352,Traveloka,$3B,2017-01-01,Travel,Jakarta,Indonesia,Asia,2012,$1B,"Global Founders Capital, East Ventures, Expedia Inc.",5,100000000.0,300000000.0
353,wefox,$3B,2019-03-05,Fintech,Berlin,Germany,Europe,2014,$919M,"Salesforce Ventures, Seedcamp, OMERS Ventures",5,9190000.0,300000000.0
354,Wildlife Studios,$3B,2019-12-05,Other,Sao Paulo,Brazil,South America,2011,$180M,"Benchmark, Bessemer Venture Partners",8,1800000.0,300000000.0
355,1047 Games,$2B,2021-09-14,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,"VGames, Lakestar, Galaxy Interactive",4,1270000.0,200000000.0
356,Baiwang,$2B,2019-03-25,Fintech,Beijing,China,Asia,2015,$224M,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",4,2240000.0,200000000.0
357,Boba,$2B,2022-04-05,Fintech,San Francisco,United States,North America,2018,$45M,"DeFi Technologies, Hypersphere Ventures, M13",4,450000.0,200000000.0
358,Bought By Many,$2B,2021-06-01,Fintech,London,United Kingdom,Europe,2012,$477M,"Octopus Ventures, Munich Re Ventures, CommerzVentures",9,4770000.0,200000000.0
359,Cambridge Mobile Telematics,$2B,2018-12-19,Mobile & telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,8,5030000.0,200000000.0
360,Carzone,$2B,2019-03-01,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,$946M,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",24,9460000.0,200000000.0
361,CFGI,$2B,2021-09-15,Fintech,Boston,United States,North America,2000,$19M,"The Carlyle Group, CVC Capital Partners",21,190000.0,200000000.0
362,Cgtz,$2B,2017-02-21,Fintech,Hangzhou,China,Asia,2014,$536M,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",3,5360000.0,200000000.0
363,Changingedu,$2B,2017-10-30,Edtech,Shanghai,China,Asia,2014,$188M,"Trustbridge Partners, IDG Capital, Sequoia Capital China",3,1880000.0,200000000.0
364,eDaili,$2B,2019-02-01,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,$101M,"K2VC, Lightspeed China Partners, Sky9 Capital",4,1010000.0,200000000.0
365,ENOVATE,$2B,2019-04-15,Auto & transportation,Shanghai,China,Asia,2015,$1B,Automobile Industry Guidance Fund,4,100000000.0,200000000.0
366,Fenbi Education,$2B,2021-02-07,Edtech,Beijing,China,Asia,2015,$390M,"Trustbridge Partners, Hony Capital, IDG Capital",6,3900000.0,200000000.0
367,Hesai Tech,$2B,2020-08-01,Artificial intelligence,Shanghai,China,Asia,2013,$717M,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",7,7170000.0,200000000.0
368,Il Makiage,$2B,2022-01-10,E-commerce & direct-to-consumer,New York,United States,North America,2018,$29M,"L Catterton, Franklin Templeton, First Light Capital Group",4,290000.0,200000000.0
369,Iluvatar CoreX,$2B,2021-03-01,Hardware,Shanghai,China,Asia,2015,$186M,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",6,1860000.0,200000000.0
370,Jusfoun Big Data,$2B,2018-07-09,Data management & analytics,Beijing,China,Asia,2010,$137M,"Boxin Capital, DT Capital Partners, IDG Capital",8,1370000.0,200000000.0
371,Pagaya,$2B,2020-06-17,Fintech,Tel Aviv,Israel,Asia,2015,$417M,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",5,4170000.0,200000000.0
372,PolicyBazaar,$2B,2019-05-06,Fintech,Gurgaon,India,Asia,2008,$634M,"Info Edge, Softbank Capital",11,6340000.0,200000000.0
373,Promasidor Holdings,$2B,2016-11-08,Consumer & retail,Bryanston,South Africa,Asia,1979,$556M,"IFC, Ajinomoto",37,5560000.0,200000000.0
374,Tubatu.com,$2B,2015-03-09,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$216M,"Sequoia Capital China, Matrix Partners China, 58.com",7,2160000.0,200000000.0
375,Ximalaya FM,$2B,2017-09-22,Mobile & telecommunications,Shanghai,China,Asia,2012,$71M,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",5,710000.0,200000000.0
376,HEYTEA,$2B,2019-07-01,Other,Shenzhen,China,Asia,2012,$594M,"Sequoia Capital China, Tencent Investment, BA Capital",7,5940000.0,200000000.0
377,BGL Group,$2B,2017-11-24,Fintech,Peterborough,United Kingdom,Europe,1992,$696M,CPP Investment Board,25,6960000.0,200000000.0
378,Claroty,$2B,2021-06-17,Cybersecurity,New York,United States,North America,2015,$640M,"Bessemer Venture Partners, MoreVC, Team8",6,6400000.0,200000000.0
379,Improbable,$2B,2017-05-11,Other,London,United Kingdom,Europe,2012,$754M,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",5,7540000.0,200000000.0
380,InMobi,$2B,2014-12-02,Mobile & telecommunications,Bengaluru,India,Asia,2007,$221M,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",7,2210000.0,200000000.0
381,MindMaze,$2B,2016-01-28,Health,Lausanne,Switzerland,Europe,2012,$340M,Hinduja Group,4,3400000.0,200000000.0
382,Ninja Van,$2B,2021-09-27,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,$975M,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",7,9750000.0,200000000.0
383,Pantheon Systems,$2B,2021-07-13,Internet software & services,San Francisco,United States,North America,2010,$200M,"Foundry Group, Scale Venture Partners, SoftBank Group",11,2000000.0,200000000.0
384,SellerX,$2B,2021-12-09,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$766M,"Cherry Ventures, Felix Capital, 83North",1,7660000.0,200000000.0
385,AppDirect,$2B,2015-10-07,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,$431M,"Mithril, iNovia Capital, Foundry Group",6,4310000.0,200000000.0
386,BrewDog,$2B,2017-04-10,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,$233M,"TSG Consumer Partners, Crowdcube",10,2330000.0,200000000.0
387,Enflame,$2B,2021-01-05,Hardware,Shanghai,China,Asia,2018,$472M,"Tencent Holdings, Delta Capital, Redpoint Ventures China",3,4720000.0,200000000.0
388,Tradeshift,$2B,2018-05-30,Fintech,San Francisco,United States,North America,2009,$861M,"Notion Capital, Scentan Ventures, Kite Ventures",9,8610000.0,200000000.0
389,HeartFlow,$2B,2017-12-04,Health,Redwood City,United States,North America,2007,$568M,"BlueCross BlueShield Venture Partners, US Venture Partners",10,5680000.0,200000000.0
390,Extend,$2B,2021-05-18,Fintech,San Francisco,United States,North America,2004,$320M,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",17,3200000.0,200000000.0
391,Airbyte,$2B,2021-12-17,Internet software & services,San Francisco,United States,North America,2020,$181M,"Accel, Benchmark, SV Angel",1,1810000.0,200000000.0
392,Andela,$2B,2021-09-29,Internet software & services,New York,United States,North America,2014,$381M,"Spark Capital, Google Ventures, CRE Venture Capital",7,3810000.0,200000000.0
393,Ascend Money,$2B,2021-09-27,Fintech,Bangkok,Thailand,Asia,2013,$150M,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",8,1500000.0,200000000.0
394,Athelas,$2B,2022-01-31,Health,Mountain View,United States,North America,2016,$150M,"Sequoia Capital, General Catalyst, Human Capital",6,1500000.0,200000000.0
395,Built,$2B,2021-09-30,Internet software & services,Nashville,United States,North America,2015,$289M,"Nyca Partners, Index Ventures, Technology Crossover Ventures",6,2890000.0,200000000.0
396,candy.com,$2B,2021-10-21,Fintech,New York,United States,North America,2009,$100M,"Insight Partners, Softbank Group, Connect Ventures",12,1000000.0,200000000.0
397,Cognite,$2B,2021-05-19,Data management & analytics,Lysaker,Norway,Europe,2016,$225M,"Technology Crossover Ventures, Accel, Aker",5,2250000.0,200000000.0
398,CoinList,$2B,2021-10-15,Fintech,San Francisco,United States,North America,2017,$119M,"Accomplice, Polychain Capital, GoldenTree Asset Management",4,1190000.0,200000000.0
399,Collective Health,$2B,2019-06-17,Fintech,San Francisco,United States,North America,2013,$719M,"New Enterprise Associates, Founders Fund, Google Ventures",6,7190000.0,200000000.0
400,Culture Amp,$2B,2021-07-29,Internet software & services,Richmond,Australia,Oceania,2011,$257M,"Felicis Ventures, Index Ventures, Blackbird Ventures",10,2570000.0,200000000.0
401,Devo,$2B,2021-10-26,Data management & analytics,Cambridge,United States,North America,2011,$381M,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",10,3810000.0,200000000.0
402,ElasticRun,$2B,2022-02-07,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,$435M,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",6,4350000.0,200000000.0
403,Gett,$2B,2016-05-24,Auto & transportation,London,United Kingdom,Europe,2010,$828M,"Volkswagen, Access Industries, Vostok New Ventures",6,8280000.0,200000000.0
404,ID.me,$2B,2021-03-19,Cybersecurity,McLean,United States,North America,2010,$142M,"Moonshots Capital, BoxGroup, Blu Venture Investors",11,1420000.0,200000000.0
405,impact.com,$2B,2021-07-13,Internet software & services,Santa Barbara,United States,North America,2008,$261M,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",13,2610000.0,200000000.0
406,Ledger,$2B,2021-06-10,Hardware,Paris,France,Europe,2014,$466M,"Digital Currency Group, Draper Esprit, Korelya Capital",7,4660000.0,200000000.0
407,Lusha,$2B,2021-11-10,Internet software & services,New York,United States,North America,2016,$245M,"PSG, ION Crossover Partners",5,2450000.0,200000000.0
408,Matillion,$2B,2021-09-15,Data management & analytics,Altrincham,United Kingdom,Europe,2011,$310M,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",10,3100000.0,200000000.0
409,MOLOCO,$2B,2021-04-29,Artificial intelligence,Redwood City,United States,North America,2013,$192M,"Smilegate Investment, DSC Investments, KTB Ventures",8,1920000.0,200000000.0
410,Mu Sigma,$2B,2013-02-07,Data management & analytics,Northbrook,United States,North America,2004,$211M,"Sequoia Capital, General Atlantic",9,2110000.0,200000000.0
411,Next Silicon,$2B,2021-06-14,Hardware,Tel Aviv,Israel,Asia,2018,$203M,"Amiti Ventures, Playground Global, Aleph",3,2030000.0,200000000.0
412,NotCo,$2B,2021-07-26,Artificial intelligence,Santiago,Chile,South America,2015,$370M,"Kaszek Ventures, SOSV, Tiger Global Management",6,3700000.0,200000000.0
413,Olist,$2B,2021-12-15,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,$320M,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",6,3200000.0,200000000.0
414,Pacaso,$2B,2021-03-24,Fintech,Cincinnati,United States,North America,2020,$217M,"Global Founders Capital, Shea Ventures, Greycroft",1,2170000.0,200000000.0
415,Paradox,$2B,2021-12-27,Internet software & services,Scottsdale,United States,North America,2016,$253M,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",5,2530000.0,200000000.0
416,Persona,$2B,2021-09-15,Cybersecurity,San Francisco,United States,North America,2018,$218M,"Coatue Management, Index Ventures, Founders Fund",3,2180000.0,200000000.0
417,SmartRecruiters,$2B,2021-07-20,Internet software & services,San Francisco,United States,North America,2010,$225M,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",11,2250000.0,200000000.0
418,Snapdocs,$2B,2021-05-25,Fintech,San Francisco,United States,North America,2012,$253M,"Sequoia Capital, Y Combinator, F-Prime Capital",9,2530000.0,200000000.0
419,Solugen,$2B,2021-09-10,Other,Houston,United States,North America,2016,$435M,"Fifty Years Fund, Refactor Capital, Temasek",5,4350000.0,200000000.0
420,StoreDot,$2B,2022-01-04,Other,Herzliya,Israel,Asia,2012,$190M,"Samsung Ventures, SingulariTeam, BP Ventures",10,1900000.0,200000000.0
421,Strava,$2B,2020-11-16,Internet software & services,San Francisco,United States,North America,2009,$152M,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",11,1520000.0,200000000.0
422,Temporal,$2B,2022-02-16,Internet software & services,Bellevue,United States,North America,2019,$129M,"Amplify Partners, Addition, Madrona Venture Group",3,1290000.0,200000000.0
423,TuJia,$2B,2015-06-17,Travel,Beijing,China,Asia,2011,$755M,"GGV Capital, QiMing Venture Partnersl",4,7550000.0,200000000.0
424,Uplight,$2B,2021-03-03,Other,Boulder,United States,North America,2019,Unknown,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",2,,200000000.0
425,Veho,$2B,2021-12-21,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,$299M,"General Catalyst, Origin Ventures, Fontinalis Partners",5,2990000.0,200000000.0
426,Veriff,$2B,2022-01-26,Artificial intelligence,Tallinn,Estonia,Europe,2015,$177M,"Accel, Institutional Venture Partners, Tiger Global Management",7,1770000.0,200000000.0
427,Whatnot,$2B,2021-09-16,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,$225M,"Y Combinator, Andreessen Horowitz, Wonder Ventures",2,2250000.0,200000000.0
428,Zenoti,$2B,2020-12-15,Internet software & services,Bellevue,United States,North America,2010,$331M,"Norwest Venture Partners, Accel, Tiger Global Management",10,3310000.0,200000000.0
429,Zeta,$2B,2021-05-24,Fintech,San Francisco,United States,North America,2015,$340M,"Sodexo Ventures, SoftBank Group",6,3400000.0,200000000.0
430,Loom,$2B,2021-05-20,Internet software & services,San Francisco,United States,North America,2016,$204M,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",5,2040000.0,200000000.0
431,Mobile Premier League,$2B,2021-09-15,Internet software & services,Bengaluru,India,Asia,2018,$376M,"Sequoia Capital India, RTP Global, Go-Ventures",3,3760000.0,200000000.0
